Date,Min Temperature (C),Max Temperature (C)
02-15-2022,8.1,21.1
02-16-2022,7.4,22.0
02-17-2022,7.0,23.0
02-18-2022,6.5,24.1
02-19-2022,7.5,23.6
02-20-2022,6.9,22.3
02-21-2022,6.8,23.0
02-22-2022,8.9,23.8
02-23-2022,13.4,23.1
02-24-2022,12.1,22.3
02-25-2022,9.9,23.8
02-26-2022,10.5,16.6
02-27-2022,9.1,22.3
02-28-2022,8.0,24.0
03-01-2022,10.1,25.1
03-02-2022,9.8,26.3
03-03-2022,10.8,25.0
03-04-2022,11.2,26.1
03-05-2022,9.4,26.1
03-06-2022,11.3,24.3
03-07-2022,13.9,25.1
03-08-2022,11.9,29.0
03-09-2022,12.4,29.8
03-10-2022,11.4,29.1
03-11-2022,12.5,26.9
03-12-2022,12.7,29.3
03-13-2022,14.1,29.6
03-14-2022,15.4,30.6
03-15-2022,16.9,31.0
03-16-2022,17.4,32.1
03-17-2022,18.8,30.8
03-18-2022,18.9,32.0
03-19-2022,19.3,32.1
03-20-2022,17.8,32.6
03-21-2022,17.0,34.0
03-22-2022,14.6,33.1
03-23-2022,15.2,32.0
03-24-2022,16.5,33.3
03-25-2022,15.5,32.1
03-26-2022,14.3,32.1
03-27-2022,14.0,33.1
03-28-2022,14.1,33.8
03-29-2022,15.0,35.0
03-30-2022,15.4,34.3
03-31-2022,16.5,35.1
04-01-2022,15.9,35.1
04-02-2022,16.6,34.3
04-03-2022,16.4,35.1
04-04-2022,15.9,35.8
04-05-2022,16.1,35.0
04-06-2022,16.1,36.1
04-07-2022,16.9,35.1
04-08-2022,17.7,36.6
04-09-2022,17.2,36.1
04-10-2022,18.1,35.8
04-11-2022,18.3,35.3
04-12-2022,19.9,36.0
04-13-2022,21.6,36.1
04-14-2022,21.4,35.8
04-15-2022,18.1,35.0
04-16-2022,18.0,35.0
04-17-2022,18.5,35.1
04-18-2022,17.2,37.6
04-19-2022,19.8,38.1
04-20-2022,20.7,38.3
04-21-2022,20.7,32.8
04-22-2022,21.0,34.8
04-23-2022,18.1,36.0
04-24-2022,18.3,36.3
04-25-2022,17.9,37.0
04-26-2022,20.1,37.3
04-27-2022,19.0,37.6
04-28-2022,19.9,38.3
04-29-2022,21.3,38.2
04-30-2022,20.8,38.3
05-01-2022,23.0,35.6
05-02-2022,22.8,34.3
05-03-2022,23.1,34.3
05-04-2022,20.9,33.0
05-05-2022,18.2,34.8
05-06-2022,20.5,33.8
05-07-2022,19.8,35.1
05-08-2022,20.2,34.8
05-09-2022,21.5,35.0
05-10-2022,22.4,33.6
05-11-2022,22.1,33.8
05-12-2022,23.0,34.3
05-13-2022,21.6,35.6
05-14-2022,22.2,37.6
05-15-2022,22.9,38.3
05-16-2022,25.0,38.1
05-17-2022,22.3,35.6
05-18-2022,21.4,33.2
05-19-2022,21.7,37.0
05-20-2022,22.7,38.8
05-21-2022,23.1,35.1
05-22-2022,21.0,34.8
05-23-2022,16.8,28.6
05-24-2022,19.5,28.3
05-25-2022,17.9,32.3
05-26-2022,20.6,31.6
05-27-2022,21.6,33.3
05-28-2022,23.2,34.6
05-29-2022,22.4,34.3
05-30-2022,23.9,35.3
05-31-2022,22.8,37.6
06-01-2022,20.9,38.1
06-02-2022,21.7,39.8
06-03-2022,21.7,39.8
06-04-2022,22.0,40.3
06-05-2022,22.1,40.8
06-06-2022,23.2,40.3
06-07-2022,25.1,40.0
06-08-2022,25.1,40.0
06-09-2022,24.9,39.6
06-10-2022,25.5,40.0
06-11-2022,23.8,39.6
06-12-2022,24.4,38.8
06-13-2022,25.7,40.6
06-14-2022,25.2,39.6
06-15-2022,25.2,39.0
06-16-2022,23.5,35.0
06-17-2022,21.6,30.3
06-18-2022,22.1,26.5
06-19-2022,19.5,30.8
06-20-2022,20.3,33.0
06-21-2022,19.9,30.5
06-22-2022,21.2,33.0
06-23-2022,21.6,35.3
06-24-2022,22.8,36.6
06-25-2022,23.4,35.6
06-26-2022,26.1,33.3
06-27-2022,25.9,33.3
06-28-2022,25.9,33.8
06-29-2022,24.0,30.0
06-30-2022,23.4,26.1
07-01-2022,23.5,30.3
07-02-2022,24.8,34.0
07-03-2022,23.9,32.6
07-04-2022,24.6,32.6
07-05-2022,25.9,33.6
07-06-2022,23.6,33.6
07-07-2022,25.8,34.0
07-08-2022,25.4,33.1
07-09-2022,24.2,27.2
07-10-2022,22.9,31.1
07-11-2022,24.7,33.1
